
> my-app@0.1.0 dev
> next dev --port 12000

[baseline-browser-mapping] The data in this module is over two months old.  To ensure accurate Baseline data, please update: `npm i baseline-browser-mapping@latest -D`
 ⚠ Invalid next.config.ts options detected: 
 ⚠     Unrecognized key(s) in object: 'serverComponentsExternalPackages' at "experimental"
 ⚠ See more info here: https://nextjs.org/docs/messages/invalid-next-config
 ⚠ `experimental.serverComponentsExternalPackages` has been moved to `serverExternalPackages`. Please update your next.config.ts file accordingly.
   ▲ Next.js 16.0.3 (Turbopack)
   - Local:         http://localhost:12000
   - Network:       http://10.2.0.11:12000
   - Experiments (use with caution):
     ? serverComponentsExternalPackages (invalid experimental key)

 ✓ Starting...
Attention: Next.js now collects completely anonymous telemetry regarding usage.
This information is used to shape Next.js' roadmap and prioritize features.
You can learn more, including how to opt-out if you'd not like to participate in this anonymous program, by visiting the following URL:
https://nextjs.org/telemetry

 ✓ Ready in 637ms
 GET / 200 in 2.4s (compile: 2.2s, render: 136ms)
 GET / 200 in 29ms (compile: 3ms, render: 27ms)
 GET / 200 in 54ms (compile: 3ms, render: 52ms)
 GET / 200 in 27ms (compile: 3ms, render: 24ms)
 GET / 200 in 22ms (compile: 2ms, render: 20ms)
 GET / 200 in 31ms (compile: 3ms, render: 28ms)
 ⚠ Cross origin request detected from work-1-fgnimbeasanvsley.prod-runtime.all-hands.dev to /_next/* resource. In a future major version of Next.js, you will need to explicitly configure "allowedDevOrigins" in next.config to allow this.
Read more: https://nextjs.org/docs/app/api-reference/config/next-config-js/allowedDevOrigins
 GET / 200 in 35ms (compile: 3ms, render: 32ms)
 GET / 200 in 27ms (compile: 2ms, render: 25ms)
 GET / 200 in 37ms (compile: 2ms, render: 34ms)
 GET / 200 in 27ms (compile: 3ms, render: 24ms)
 GET / 200 in 27ms (compile: 2ms, render: 25ms)
 GET / 200 in 23ms (compile: 2ms, render: 21ms)
 GET / 200 in 27ms (compile: 2ms, render: 24ms)
 GET / 200 in 26ms (compile: 2ms, render: 24ms)
 GET / 200 in 25ms (compile: 2ms, render: 23ms)
 GET / 200 in 41ms (compile: 2ms, render: 39ms)
 GET / 200 in 24ms (compile: 3ms, render: 22ms)
 GET / 200 in 23ms (compile: 1975µs, render: 21ms)
 GET / 200 in 24ms (compile: 2ms, render: 22ms)
 GET / 200 in 27ms (compile: 1893µs, render: 25ms)
 GET / 200 in 22ms (compile: 1954µs, render: 20ms)
 GET / 200 in 26ms (compile: 2ms, render: 24ms)
 GET / 200 in 56ms (compile: 1955µs, render: 54ms)
 GET / 200 in 26ms (compile: 3ms, render: 24ms)
 GET / 200 in 25ms (compile: 1954µs, render: 23ms)
 GET / 200 in 31ms (compile: 3ms, render: 28ms)
 GET / 200 in 26ms (compile: 2ms, render: 23ms)
 GET / 200 in 25ms (compile: 1967µs, render: 23ms)
 GET / 200 in 24ms (compile: 2ms, render: 22ms)
 GET / 200 in 46ms (compile: 6ms, render: 40ms)
 GET / 200 in 22ms (compile: 1778µs, render: 20ms)
 GET / 200 in 26ms (compile: 2ms, render: 23ms)
 GET / 200 in 28ms (compile: 2ms, render: 26ms)
 GET / 200 in 22ms (compile: 2ms, render: 20ms)
 GET / 200 in 26ms (compile: 2ms, render: 24ms)
 GET / 200 in 37ms (compile: 3ms, render: 35ms)
 GET / 200 in 23ms (compile: 2ms, render: 21ms)
 GET / 200 in 23ms (compile: 2ms, render: 21ms)
 GET / 200 in 24ms (compile: 2ms, render: 22ms)
 GET / 200 in 26ms (compile: 1970µs, render: 25ms)
 GET / 200 in 22ms (compile: 1830µs, render: 21ms)
 GET / 200 in 23ms (compile: 1813µs, render: 21ms)
 GET / 200 in 40ms (compile: 2ms, render: 38ms)
 GET / 200 in 23ms (compile: 2ms, render: 20ms)
 GET / 200 in 21ms (compile: 1822µs, render: 19ms)
 GET /site/https%3A%2F%2Fexample-saas.com 200 in 755ms (compile: 731ms, render: 24ms)
 GET / 200 in 24ms (compile: 2ms, render: 22ms)
 GET / 200 in 39ms (compile: 1941µs, render: 37ms)
 GET / 200 in 26ms (compile: 3ms, render: 23ms)
 GET / 200 in 24ms (compile: 1791µs, render: 23ms)
 GET / 200 in 12ms (compile: 3ms, render: 10ms)
 GET / 200 in 37ms (compile: 2ms, render: 34ms)
 GET / 200 in 22ms (compile: 2ms, render: 20ms)
 GET / 200 in 29ms (compile: 1708µs, render: 27ms)
 GET / 200 in 23ms (compile: 1871µs, render: 22ms)
 GET / 200 in 27ms (compile: 2ms, render: 25ms)
 GET / 200 in 40ms (compile: 1941µs, render: 38ms)
 GET / 200 in 23ms (compile: 3ms, render: 21ms)
 GET / 200 in 23ms (compile: 2ms, render: 21ms)
